Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.3372094929218292,0.35157909989356995,0.10137537866830826,0.1931159943342209
1,0.37118270993232727,0.384770005941391,0.27324724197387695,0.4599248468875885
2,0.4028172492980957,0.4126891791820526,0.7687856554985046,0.8316961526870728
3,0.4279460906982422,0.4352125823497772,0.8531281352043152,0.8535143733024597
4,0.45264554023742676,0.45880207419395447,0.8388460278511047,0.8168636560440063
5,0.4771695137023926,0.4804669916629791,0.8116906881332397,0.8097018003463745
6,0.498455286026001,0.49807119369506836,0.8116990923881531,0.8112868070602417
7,0.515310525894165,0.5112212300300598,0.815456211566925,0.8160026669502258
8,0.5280287265777588,0.5208029747009277,0.8225511312484741,0.8261388540267944
9,0.5376602411270142,0.5282764434814453,0.8401459455490112,0.8559995293617249
10,0.5456697940826416,0.5345633625984192,0.858654797077179,0.8598152995109558
11,0.5525527596473694,0.5400137305259705,0.8658000826835632,0.8753718137741089
12,0.5580706596374512,0.5442349314689636,0.9060130715370178,0.9166601300239563
13,0.5623741745948792,0.547532856464386,0.9086296558380127,0.9068174958229065
14,0.5655957460403442,0.5496630668640137,0.9109526872634888,0.9179907441139221
15,0.5676030516624451,0.5511766076087952,0.9204210042953491,0.9193800687789917
16,0.5693762898445129,0.5522289872169495,0.9183747172355652,0.9162883758544922
17,0.5707898736000061,0.5532160997390747,0.9163703322410583,0.9169732332229614
18,0.5718732476234436,0.5539219975471497,0.919339120388031,0.9202802181243896
19,0.5727172493934631,0.5544585585594177,0.9186850190162659,0.9155447483062744
20,0.573559582233429,0.554893970489502,0.9184501767158508,0.9222956895828247
21,0.5742064118385315,0.5554475784301758,0.9230962991714478,0.9202410578727722
22,0.5749606490135193,0.5558298826217651,0.9179302453994751,0.9155251979827881
23,0.5756860375404358,0.556361973285675,0.9171083569526672,0.9164644479751587
24,0.5762689709663391,0.5567331910133362,0.9170747995376587,0.9182060360908508
25,0.5767154097557068,0.5571057200431824,0.9193223714828491,0.9172667264938354
26,0.5772936344146729,0.5574031472206116,0.9151878356933594,0.9155643582344055
27,0.5776908993721008,0.5576708912849426,0.9157581329345703,0.9149773120880127
28,0.5780527591705322,0.5578463673591614,0.9140557050704956,0.9142141342163086
29,0.5784227252006531,0.558082103729248,0.9158923029899597,0.9165036082267761
30,0.5788211226463318,0.558219850063324,0.922425389289856,0.9240959882736206
31,0.5791219472885132,0.5585708022117615,0.9229704737663269,0.9199671149253845
32,0.5795789361000061,0.5588919520378113,0.9202029705047607,0.9180103540420532
33,0.5799341797828674,0.559162437915802,0.9177960157394409,0.9154077768325806
34,0.5804382562637329,0.5593215823173523,0.9196075201034546,0.9230784177780151
